Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182,6.03,Houston,English,953,6916,5,Fashionistas,27-01-2021,9.82%,18.24,"(27,'Alpha Innovations','Email','Women 25-34','45 days','Facebook',0.09,9182,6.03,'Houston','English',953,6916,5,'Fashionistas','2021-01-27',0.0982272948033026,18.2398022249691)"
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601,3.29,New York,Spanish,604,2420,3,Foodies,28-01-2021,13.78%,9.63,"(28,'TechCorp','Email','Men 25-34','30 days','YouTube',0.07,6601,3.29,'New York','Spanish',604,2420,3,'Foodies','2021-01-28',0.137796414112204,9.63483735571878)"
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,29-01-2021,24.96%,10.93,"(29,'TechCorp','Influencer','Men 18-24','60 days','Email',0.09,11552,7.12,'Chicago','Spanish',384,7620,7,'Tech Enthusiasts','2021-01-29',0.249586776859504,10.9288079470199)"
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,30-01-2021,5.04%,30.08,"(30,'TechCorp','Social Media','Women 25-34','30 days','Email',0.09,11608,3.61,'Los Angeles','Spanish',952,4055,1,'Tech Enthusiasts','2021-01-30',0.0503937007874016,30.0833333333333)"
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,31-01-2021,23.48%,12.19,"(31,'Innovate Industries','Search','Men 25-34','45 days','Instagram',0.07,13124,2.77,'Houston','Mandarin',512,4837,4,'Tech Enthusiasts','2021-01-31',0.234771886559803,12.1932773109244)"
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245,6.83,New York,English,309,2885,7,Foodies,01-02-2021,10.59%,25.63,"(32,'NexGen Systems','Influencer','All Ages','45 days','YouTube',0.07,13245,6.83,'New York','English',309,2885,7,'Foodies','2021-02-01',0.105850733925987,25.6328125)"
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,5796,4.42,New York,Spanish,367,3218,9,Foodies,02-02-2021,10.71%,42.86,"(33,'NexGen Systems','Display','Women 35-44','45 days','Email',0.06,5796,4.42,'New York','Spanish',367,3218,9,'Foodies','2021-02-02',0.107105719237435,42.8640776699029)"
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,15082,2.71,Los Angeles,German,243,5724,4,Health & Wellness,03-02-2021,11.40%,15.79,"(34,'Alpha Innovations','Influencer','Women 25-34','45 days','Google Ads',0.14,15082,2.71,'Los Angeles','German',243,5724,4,'Health & Wellness','2021-02-03',0.114045991298943,15.7929155313351)"
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,18332,7.81,Houston,Spanish,360,5349,6,Fashionistas,04-02-2021,4.25%,62.07,"(35,'NexGen Systems','Influencer','Men 18-24','30 days','YouTube',0.07,18332,7.81,'Houston','Spanish',360,5349,6,'Fashionistas','2021-02-04',0.0424528301886792,62.0658436213992)"
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,13256,2.51,Miami,German,250,7373,3,Health & Wellness,05-02-2021,6.73%,50.92,"(36,'TechCorp','Display','Men 25-34','60 days','Instagram',0.09,13256,2.51,'Miami','German',250,7373,3,'Health & Wellness','2021-02-05',0.0673022994952328,50.9222222222222)"
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779,7.24,New York,Spanish,822,7152,1,Foodies,06-02-2021,3.39%,53.02,"(37,'DataTech Solutions','Display','All Ages','45 days','Email',0.04,15779,7.24,'New York','Spanish',822,7152,1,'Foodies','2021-02-06',0.033907500339075,53.024)"
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,7683,2.62,Houston,French,833,9772,8,Tech Enthusiasts,07-02-2021,11.49%,19.2,"(38,'Innovate Industries','Influencer','Men 18-24','60 days','Facebook',0.06,7683,2.62,'Houston','French',833,9772,8,'Tech Enthusiasts','2021-02-07',0.11493288590604,19.1958637469586)"
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,14742,2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,08-02-2021,8.52%,9.22,"(39,'Innovate Industries','Search','Men 25-34','30 days','Instagram',0.11,14742,2.21,'Chicago','Spanish',663,9473,10,'Tech Enthusiasts','2021-02-08',0.085243553008596,9.22328931572629)"
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,15495,6.97,Chicago,German,268,5495,6,Fashionistas,09-02-2021,7.00%,22.24,"(40,'Innovate Industries','Search','Men 18-24','45 days','Google Ads',0.08,15495,6.97,'Chicago','German',268,5495,6,'Fashionistas','2021-02-09',0.0699883880502481,22.2352941176471)"
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684,4.57,New York,French,212,4718,4,Foodies,10-02-2021,4.88%,57.82,"(41,'DataTech Solutions','Social Media','All Ages','30 days','Website',0.04,18684,4.57,'New York','French',212,4718,4,'Foodies','2021-02-10',0.04877161055505,57.8171641791045)"
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,13096,3.44,Los Angeles,French,360,2776,1,Foodies,11-02-2021,4.49%,88.13,"(42,'Alpha Innovations','Search','Men 25-34','45 days','Email',0.01,13096,3.44,'Los Angeles','French',360,2776,1,'Foodies','2021-02-11',0.0449342941924544,88.1320754716981)"
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,7818,5.6,Houston,French,598,8637,5,Fashionistas,12-02-2021,12.97%,36.38,"(43,'Innovate Industries','Display','Men 25-34','60 days','Instagram',0.09,7818,5.6,'Houston','French',598,8637,5,'Fashionistas','2021-02-12',0.129682997118156,36.3777777777778)"
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,8214,4.77,Chicago,English,988,1612,5,Fashionistas,13-02-2021,6.92%,13.07,"(44,'Innovate Industries','Display','All Ages','30 days','Instagram',0.09,8214,4.77,'Chicago','English',988,1612,5,'Fashionistas','2021-02-13',0.0692370035892092,13.0735785953177)"
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,6882,3.31,Miami,English,282,8038,7,Tech Enthusiasts,14-02-2021,61.29%,8.31,"(45,'DataTech Solutions','Email','Men 18-24','45 days','Google Ads',0.04,6882,3.31,'Miami','English',282,8038,7,'Tech Enthusiasts','2021-02-14',0.612903225806452,8.31376518218623)"
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,13470,6.8,Miami,English,992,8036,8,Health & Wellness,15-02-2021,3.51%,24.4,"(46,'NexGen Systems','Display','Women 35-44','60 days','Google Ads',0.03,13470,6.8,'Miami','English',992,8036,8,'Health & Wellness','2021-02-15',0.0350833540681762,24.4042553191489)"
47,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,14948,7.4,New York,French,903,3940,3,Foodies,16-02-2021,12.34%,13.58,"(47,'DataTech Solutions','Search','Men 25-34','60 days','YouTube',0.06,14948,7.4,'New York','French',903,3940,3,'Foodies','2021-02-16',0.12344449975112,13.5786290322581)"
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,15255,3.8,Chicago,French,629,1824,3,Health & Wellness,17-02-2021,22.92%,16.55,"(48,'Innovate Industries','Social Media','Men 18-24','60 days','Instagram',0.04,15255,3.8,'Chicago','French',629,1824,3,'Health & Wellness','2021-02-17',0.229187817258883,16.5537098560354)"
49,TechCorp,Display,All Ages,60 days,Facebook,0.1,9510,5.25,Houston,French,190,2071,4,Tech Enthusiasts,18-02-2021,34.48%,24.25,"(49,'TechCorp','Display','All Ages','60 days','Facebook',0.1,9510,5.25,'Houston','French',190,2071,4,'Tech Enthusiasts','2021-02-18',0.34484649122807,24.2527821939587)"
50,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,7521,3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,19-02-2021,9.17%,50.05,"(50,'TechCorp','Social Media','Women 25-34','45 days','Email',0.11,7521,3.98,'Los Angeles','German',150,7377,8,'Tech Enthusiasts','2021-02-19',0.0917431192660551,50.0526315789474)"
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,10405,5.79,Los Angeles,French,134,8463,9,Foodies,20-02-2021,2.03%,50.14,"(51,'NexGen Systems','Search','Men 25-34','60 days','Facebook',0.12,10405,5.79,'Los Angeles','French',134,8463,9,'Foodies','2021-02-20',0.0203334688897926,50.14)"
52,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,15955,6.48,Houston,French,657,9831,7,Foodies,21-02-2021,1.58%,77.65,"(52,'NexGen Systems','Search','Men 25-34','15 days','Website',0.1,15955,6.48,'Houston','French',657,9831,7,'Foodies','2021-02-21',0.0158336287368545,77.6492537313433)"
53,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,15428,7.62,Houston,French,385,4937,6,Tech Enthusiasts,22-02-2021,6.68%,24.28,"(53,'TechCorp','Email','Men 18-24','30 days','Facebook',0.13,15428,7.62,'Houston','French',385,4937,6,'Tech Enthusiasts','2021-02-22',0.0668294171498322,24.2846270928463)"
54,NexGen Systems,Display,Women 35-44,45 days,YouTube,0.02,19832,3.35,New York,English,537,4739,9,Outdoor Adventurers,23-02-2021,7.80%,40.07,"(54,'NexGen Systems','Display','Women 35-44','45 days','YouTube',0.02,19832,3.35,'New York','English',537,4739,9,'Outdoor Adventurers','2021-02-23',0.0779825805144825,40.0727272727273)"
55,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.05,17375,6.15,Miami,Spanish,450,6012,7,Foodies,24-02-2021,11.33%,36.93,"(55,'NexGen Systems','Social Media','Men 18-24','30 days','YouTube',0.05,17375,6.15,'Miami','Spanish',450,6012,7,'Foodies','2021-02-24',0.113315045368221,36.9310986964618)"
56,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,8903,3.7,Miami,English,178,8529,9,Health & Wellness,25-02-2021,7.49%,38.61,"(56,'NexGen Systems','Display','Men 25-34','15 days','Website',0.13,8903,3.7,'Miami','English',178,8529,9,'Health & Wellness','2021-02-25',0.0748502994011976,38.6111111111111)"
57,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,14511,6.66,Chicago,English,164,2122,8,Foodies,26-02-2021,2.09%,50.02,"(57,'NexGen Systems','Email','Women 35-44','15 days','Website',0.04,14511,6.66,'Chicago','English',164,2122,8,'Foodies','2021-02-26',0.0208699730331809,50.0168539325843)"
58,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,17305,2.7,New York,French,569,1850,2,Fashionistas,27-02-2021,7.73%,88.48,"(58,'Innovate Industries','Email','Men 18-24','60 days','Email',0.06,17305,2.7,'New York','French',569,1850,2,'Fashionistas','2021-02-27',0.0772855796418473,88.4817073170732)"
59,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,18063,4.93,Chicago,English,330,6920,6,Foodies,28-02-2021,30.76%,30.41,"(59,'Alpha Innovations','Email','Women 25-34','45 days','Email',0.04,18063,4.93,'Chicago','English',330,6920,6,'Foodies','2021-02-28',0.307567567567568,30.4130052724077)"
60,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,10293,6.8,Miami,French,256,3421,9,Health & Wellness,01-03-2021,4.77%,54.74,"(60,'Innovate Industries','Display','Men 25-34','15 days','Email',0.05,10293,6.8,'Miami','French',256,3421,9,'Health & Wellness','2021-03-01',0.0476878612716763,54.7363636363636)"
61,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,8785,2.27,New York,German,849,9217,5,Fashionistas,02-03-2021,7.48%,40.21,"(61,'DataTech Solutions','Email','Men 25-34','45 days','Email',0.05,8785,2.27,'New York','German',849,9217,5,'Fashionistas','2021-03-02',0.0748319204910845,40.20703125)"
62,TechCorp,Email,Men 25-34,30 days,Email,0.09,13848,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,03-03-2021,9.21%,10.35,"(62,'TechCorp','Email','Men 25-34','30 days','Email',0.09,13848,5.32,'Los Angeles','French',261,1958,2,'Tech Enthusiasts','2021-03-03',0.0921124009981556,10.3474676089517)"
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,14435,7.04,Houston,Mandarin,592,3596,4,Foodies,04-03-2021,13.33%,53.06,"(63,'Innovate Industries','Influencer','Women 35-44','60 days','Email',0.01,14435,7.04,'Houston','Mandarin',592,3596,4,'Foodies','2021-03-04',0.133299284984678,53.0574712643678)"
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,14001,3.71,Chicago,English,201,8702,10,Outdoor Adventurers,05-03-2021,16.46%,24.38,"(64,'NexGen Systems','Search','Men 18-24','30 days','Facebook',0.02,14001,3.71,'Chicago','English',201,8702,10,'Outdoor Adventurers','2021-03-05',0.164627363737486,24.3834459459459)"
65,DataTech Solutions,Display,All Ages,45 days,Website,0.11,8841,7.43,Houston,French,648,9122,9,Fashionistas,06-03-2021,2.31%,69.66,"(65,'DataTech Solutions','Display','All Ages','45 days','Website',0.11,8841,7.43,'Houston','French',648,9122,9,'Fashionistas','2021-03-06',0.0230981383589979,69.6567164179104)"
66,NexGen Systems,Search,All Ages,60 days,YouTube,0.04,11366,7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,07-03-2021,7.10%,13.64,"(66,'NexGen Systems','Search','All Ages','60 days','YouTube',0.04,11366,7.28,'Los Angeles','Mandarin',187,5048,8,'Health & Wellness','2021-03-07',0.07103705327779,13.6435185185185)"
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,0.07,12910,6.33,Miami,Spanish,839,5569,7,Foodies,08-03-2021,3.70%,60.78,"(67,'Alpha Innovations','Display','Women 25-34','30 days','YouTube',0.07,12910,6.33,'Miami','Spanish',839,5569,7,'Foodies','2021-03-08',0.0370443740095087,60.7807486631016)"
68,TechCorp,Search,Women 25-34,60 days,YouTube,0.12,7823,2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,09-03-2021,15.07%,15.39,"(68,'TechCorp','Search','Women 25-34','60 days','YouTube',0.12,7823,2.72,'New York','Mandarin',240,2512,6,'Tech Enthusiasts','2021-03-09',0.150655413898366,15.3873659117998)"
69,TechCorp,Display,All Ages,15 days,Facebook,0.03,11864,7.98,Chicago,French,932,9973,9,Tech Enthusiasts,10-03-2021,9.55%,32.6,"(69,'TechCorp','Display','All Ages','15 days','Facebook',0.03,11864,7.98,'Chicago','French',932,9973,9,'Tech Enthusiasts','2021-03-10',0.0955414012738854,32.5958333333333)"
70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,17414,4.74,Los Angeles,German,694,2836,2,Foodies,11-03-2021,9.35%,12.73,"(70,'Innovate Industries','Email','All Ages','15 days','Facebook',0.1,17414,4.74,'Los Angeles','German',694,2836,2,'Foodies','2021-03-11',0.093452321267422,12.7296137339056)"
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,18201,5.58,New York,German,202,6745,8,Tech Enthusiasts,12-03-2021,24.47%,25.09,"(71,'Alpha Innovations','Search','Men 25-34','30 days','Website',0.13,18201,5.58,'New York','German',202,6745,8,'Tech Enthusiasts','2021-03-12',0.244710860366714,25.0922190201729)"
72,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,9549,5.61,Chicago,French,416,9187,7,Health & Wellness,13-03-2021,2.99%,90.1,"(72,'Alpha Innovations','Social Media','All Ages','15 days','Email',0.03,9549,5.61,'Chicago','French',416,9187,7,'Health & Wellness','2021-03-13',0.029948109710897,90.1039603960396)"
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,0.13,16635,7.46,Miami,English,576,9999,10,Health & Wellness,14-03-2021,4.53%,22.95,"(73,'TechCorp','Social Media','Women 35-44','15 days','YouTube',0.13,16635,7.46,'Miami','English',576,9999,10,'Health & Wellness','2021-03-14',0.0452813758571895,22.9543269230769)"
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,9310,5.63,New York,German,300,3687,9,Foodies,15-03-2021,5.76%,28.88,"(74,'NexGen Systems','Influencer','All Ages','45 days','Facebook',0.1,9310,5.63,'New York','German',300,3687,9,'Foodies','2021-03-15',0.0576057605760576,28.8802083333333)"
75,NexGen Systems,Display,All Ages,15 days,YouTube,0.11,5158,6.67,Chicago,German,776,4238,3,Health & Wellness,16-03-2021,8.14%,31.03,"(75,'NexGen Systems','Display','All Ages','15 days','YouTube',0.11,5158,6.67,'Chicago','German',776,4238,3,'Health & Wellness','2021-03-16',0.081366965012205,31.0333333333333)"
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,15182,2.03,Houston,English,492,7364,2,Fashionistas,17-03-2021,18.31%,6.65,"(76,'Innovate Industries','Search','Men 25-34','30 days','Instagram',0.04,15182,2.03,'Houston','English',492,7364,2,'Fashionistas','2021-03-17',0.183105238319962,6.64690721649485)"
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,5703,3.23,Chicago,German,763,8501,10,Foodies,18-03-2021,6.68%,30.86,"(77,'Innovate Industries','Display','Men 18-24','45 days','Google Ads',0.08,5703,3.23,'Chicago','German',763,8501,10,'Foodies','2021-03-18',0.066811515480717,30.8577235772358)"
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,12008,4.82,Miami,Spanish,817,7892,2,Health & Wellness,19-03-2021,8.98%,7.47,"(78,'Innovate Industries','Search','Women 35-44','60 days','Google Ads',0.02,12008,4.82,'Miami','Spanish',817,7892,2,'Health & Wellness','2021-03-19',0.0897541465709916,7.47444298820446)"
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,15850,7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,20-03-2021,10.35%,14.7,"(79,'NexGen Systems','Display','Women 35-44','45 days','Google Ads',0.13,15850,7.74,'New York','Spanish',791,3594,4,'Outdoor Adventurers','2021-03-20',0.103522554485555,14.6976744186047)"
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,9813,6.57,Miami,French,737,9941,6,Fashionistas,21-03-2021,22.01%,20.04,"(80,'Alpha Innovations','Influencer','Women 25-34','30 days','Email',0.1,9813,6.57,'Miami','French',737,9941,6,'Fashionistas','2021-03-21',0.220089037284363,20.0379266750948)"
